question,answer
What is the name of the law school where he was the first black president of the Harvard Law Review?,harvard law school
Where did Obama serve as a US senator from 2005 to 2008?,illinois
What country is Barack Obama the 44th president of?,united states
What is the official language of the Netherlands?,netherlands
Where is the Netherlands primarily located?,western europe
What is the official language of the Netherlands?,dutch
What is the largest city in the Netherlands?,amsterdam
"How can paleontologists identify more than 900 distinct genera and more than 1,000 different species of non-avian dinosaurs?",fossil evidence
What are the extinct non-avian dinosaurs?,dinosaurs
What are birds?,vertebrates
